format	2
image	atlas.webp
cell_size	16	16
world_cell_aspect	1
default_zoom	1.5
placeholder	1	1	16	16
asset	items/item_bandit_corpse.png	55	19	16	16
asset	items/item_bastard_sword.png	73	19	16	16
asset	items/item_battle_axe.png	91	19	16	16
asset	items/item_bear_trap.png	109	19	16	16
asset	items/item_beer.png	127	19	16	16
asset	items/item_black_bear_corpse.png	145	19	16	16
asset	items/item_boar_corpse.png	163	19	16	16
asset	items/item_bolt.png	181	19	16	16
asset	items/item_brown_bear_corpse.png	199	19	16	16
asset	items/item_buckler.png	217	19	16	16
asset	items/item_bugbear_corpse.png	235	19	16	16
asset	items/item_caltrops.png	253	19	16	16
asset	items/item_chain_mail.png	271	19	16	16
asset	items/item_chain_mail_plus1.png	289	19	16	16
asset	items/item_club.png	307	19	16	16
asset	items/item_dagger.png	325	19	16	16
asset	items/item_dire_wolf_corpse.png	343	19	16	16
asset	items/item_dungeon_masters_eraser.png	361	19	16	16
asset	items/item_field_dressing.png	379	19	16	16
asset	items/item_flail.png	397	19	16	16
asset	items/item_flaming_longsword.png	415	19	16	16
asset	items/item_ghoul_corpse.png	433	19	16	16
asset	items/item_giant_bat_corpse.png	451	19	16	16
asset	items/item_giant_rat_corpse.png	469	19	16	16
asset	items/item_giant_spider_corpse.png	487	19	16	16
asset	items/item_giant_toad_corpse.png	505	19	16	16
asset	items/item_gnoll_corpse.png	523	19	16	16
asset	items/item_goblin_corpse.png	541	19	16	16
asset	items/item_gold_pieces.png	1	37	16	16
asset	items/item_greater_healing_potion.png	19	37	16	16
asset	items/item_halberd.png	37	37	16	16
asset	items/item_hand_axe.png	55	37	16	16
asset	items/item_healing_potion.png	73	37	16	16
asset	items/item_heavy_crossbow.png	91	37	16	16
asset	items/item_hobgoblin_corpse.png	109	37	16	16
asset	items/item_holy_symbol.png	127	37	16	16
asset	items/item_iron_bracers.png	145	37	16	16
asset	items/item_iron_gauntlets.png	163	37	16	16
asset	items/item_iron_helm.png	181	37	16	16
asset	items/item_iron_pitons.png	199	37	16	16
asset	items/item_item.png	217	37	16	16
asset	items/item_kite_shield.png	235	37	16	16
asset	items/item_kobold_corpse.png	253	37	16	16
asset	items/item_lantern.png	271	37	16	16
asset	items/item_lantern_oil.png	289	37	16	16
asset	items/item_leather_armor.png	307	37	16	16
asset	items/item_leather_boots.png	325	37	16	16
asset	items/item_leather_cap.png	343	37	16	16
asset	items/item_leather_gloves.png	361	37	16	16
asset	items/item_lesser_healing_potion.png	379	37	16	16
asset	items/item_light_crossbow.png	397	37	16	16
asset	items/item_lockpicks.png	415	37	16	16
asset	items/item_longbow.png	433	37	16	16
asset	items/item_longsword.png	451	37	16	16
asset	items/item_longsword_plus1.png	469	37	16	16
asset	items/item_mace.png	487	37	16	16
asset	items/item_mana_potion.png	505	37	16	16
asset	items/item_morning_star.png	523	37	16	16
asset	items/item_net.png	541	37	16	16
asset	items/item_ogre_corpse.png	1	55	16	16
asset	items/item_oil_flask.png	19	55	16	16
asset	items/item_orc_corpse.png	37	55	16	16
asset	items/item_padded_armor.png	55	55	16	16
asset	items/item_plate_mail.png	73	55	16	16
asset	items/item_quarterstaff.png	91	55	16	16
asset	items/item_rations.png	109	55	16	16
asset	items/item_ring_mail.png	127	55	16	16
asset	items/item_ring_of_protection1.png	145	55	16	16
asset	items/item_ring_of_warmth.png	163	55	16	16
asset	items/item_rope.png	181	55	16	16
asset	items/item_rope_belt.png	199	55	16	16
asset	items/item_rust_removal_kit.png	217	55	16	16
asset	items/item_rusty_knife.png	235	55	16	16
asset	items/item_scale_mail.png	253	55	16	16
asset	items/item_scimitar.png	271	55	16	16
asset	items/item_scroll_of_identify.png	289	55	16	16
asset	items/item_scroll_of_remove_curse.png	307	55	16	16
asset	items/item_short_sword.png	325	55	16	16
asset	items/item_shortbow.png	343	55	16	16
asset	items/item_shovel.png	361	55	16	16
asset	items/item_silver_dagger.png	379	55	16	16
asset	items/item_skeleton_corpse.png	397	55	16	16
asset	items/item_sling.png	415	55	16	16
asset	items/item_sling_stone.png	433	55	16	16
asset	items/item_spear.png	451	55	16	16
asset	items/item_spellbook.png	469	55	16	16
asset	items/item_splint_mail.png	487	55	16	16
asset	items/item_studded_belt.png	505	55	16	16
asset	items/item_studded_leather.png	523	55	16	16
asset	items/item_torch.png	541	55	16	16
asset	items/item_travel_cloak.png	1	73	16	16
asset	items/item_traveler_clothes.png	19	73	16	16
asset	items/item_troll_corpse.png	37	73	16	16
asset	items/item_two_handed_sword.png	55	73	16	16
asset	items/item_wand_of_magic_missile.png	73	73	16	16
asset	items/item_war_hammer.png	91	73	16	16
asset	items/item_warg_corpse.png	109	73	16	16
asset	items/item_waterskin.png	127	73	16	16
asset	items/item_wild_dog_corpse.png	145	73	16	16
asset	items/item_wolf_corpse.png	163	73	16	16
asset	items/item_wooden_shield.png	181	73	16	16
asset	items/item_zombie_corpse.png	199	73	16	16
asset	misc/misc_unknown.png	217	73	16	16
asset	monsters/monster_adamantine_golem.png	235	73	16	16
asset	monsters/monster_animated_armor.png	253	73	16	16
asset	monsters/monster_ankheg.png	271	73	16	16
asset	monsters/monster_archlich.png	289	73	16	16
asset	monsters/monster_bandit.png	307	73	16	16
asset	monsters/monster_bandit_cutthroat.png	325	73	16	16
asset	monsters/monster_bandit_enforcer.png	343	73	16	16
asset	monsters/monster_banshee.png	361	73	16	16
asset	monsters/monster_basilisk.png	379	73	16	16
asset	monsters/monster_beacon_watch_skeleton.png	397	73	16	16
asset	monsters/monster_beacon_watcher.png	415	73	16	16
asset	monsters/monster_beacon_watcher_revenant.png	433	73	16	16
asset	monsters/monster_black_bear.png	451	73	16	16
asset	monsters/monster_black_pudding.png	469	73	16	16
asset	monsters/monster_blackglass_bandit.png	487	73	16	16
asset	monsters/monster_blackglass_bat.png	505	73	16	16
asset	monsters/monster_blackglass_drake.png	523	73	16	16
asset	monsters/monster_blackglass_drakelet.png	541	73	16	16
asset	monsters/monster_blackglass_hound.png	1	91	16	16
asset	monsters/monster_blackglass_kobold.png	19	91	16	16
asset	monsters/monster_blackglass_legionary.png	37	91	16	16
asset	monsters/monster_blackglass_priest.png	55	91	16	16
asset	monsters/monster_blackglass_rat.png	73	91	16	16
asset	monsters/monster_blackglass_spider.png	91	91	16	16
asset	monsters/monster_blackglass_stag.png	109	91	16	16
asset	monsters/monster_blackglass_thrall.png	127	91	16	16
asset	monsters/monster_blackglass_vermin.png	145	91	16	16
asset	monsters/monster_blackglass_zombie.png	163	91	16	16
asset	monsters/monster_blood_seal_wraith.png	181	91	16	16
asset	monsters/monster_boar.png	199	91	16	16
asset	monsters/monster_bone_caller.png	217	91	16	16
asset	monsters/monster_briar_hound.png	235	91	16	16
asset	monsters/monster_brown_bear.png	253	91	16	16
asset	monsters/monster_bugbear.png	271	91	16	16
asset	monsters/monster_bugbear_mauler.png	289	91	16	16
asset	monsters/monster_bugbear_stalker.png	307	91	16	16
asset	monsters/monster_bulette.png	325	91	16	16
asset	monsters/monster_burrow_spider.png	343	91	16	16
asset	monsters/monster_carrion_crawler.png	361	91	16	16
asset	monsters/monster_cave_bear.png	379	91	16	16
asset	monsters/monster_cave_fisher.png	397	91	16	16
asset	monsters/monster_cave_kobold.png	415	91	16	16
asset	monsters/monster_cave_lizard.png	433	91	16	16
asset	monsters/monster_cave_spider.png	451	91	16	16
asset	monsters/monster_cave_wolf.png	469	91	16	16
asset	monsters/monster_chimera.png	487	91	16	16
asset	monsters/monster_cockatrice.png	505	91	16	16
asset	monsters/monster_colossus.png	523	91	16	16
asset	monsters/monster_core_drake.png	541	91	16	16
asset	monsters/monster_crocodile.png	1	109	16	16
asset	monsters/monster_cult_acolyte.png	19	109	16	16
asset	monsters/monster_cult_zealot.png	37	109	16	16
asset	monsters/monster_darkmantle.png	55	109	16	16
asset	monsters/monster_death_knight.png	73	109	16	16
asset	monsters/monster_deep_blackglass_armored_zombie.png	91	109	16	16
asset	monsters/monster_deep_blackglass_drake.png	109	109	16	16
asset	monsters/monster_deep_blackglass_hound.png	127	109	16	16
asset	monsters/monster_deep_blackglass_rat.png	145	109	16	16
asset	monsters/monster_deep_blackglass_spider.png	163	109	16	16
asset	monsters/monster_deep_blackglass_wraith.png	181	109	16	16
asset	monsters/monster_deep_blackglass_zombie.png	199	109	16	16
asset	monsters/monster_dire_bear.png	217	109	16	16
asset	monsters/monster_dire_boar.png	235	109	16	16
asset	monsters/monster_dire_wolf.png	253	109	16	16
asset	monsters/monster_dracolich.png	271	109	16	16
asset	monsters/monster_draconic_knight.png	289	109	16	16
asset	monsters/monster_drakespawn_whelp.png	307	109	16	16
asset	monsters/monster_duergar_guard.png	325	109	16	16
asset	monsters/monster_duergar_marauder.png	343	109	16	16
asset	monsters/monster_duergar_scout.png	361	109	16	16
asset	monsters/monster_dustwing_bat.png	379	109	16	16
asset	monsters/monster_ettercap.png	397	109	16	16
asset	monsters/monster_fallen_lance.png	415	109	16	16
asset	monsters/monster_fallen_lance_knight.png	433	109	16	16
asset	monsters/monster_fire_elemental.png	451	109	16	16
asset	monsters/monster_fire_giant.png	469	109	16	16
asset	monsters/monster_fire_sprite.png	487	109	16	16
asset	monsters/monster_flesh_golem.png	505	109	16	16
asset	monsters/monster_flying_sword.png	523	109	16	16
asset	monsters/monster_forest_bandit.png	541	109	16	16
asset	monsters/monster_forest_hound.png	1	127	16	16
asset	monsters/monster_frost_elemental.png	19	127	16	16
asset	monsters/monster_frost_giant.png	37	127	16	16
asset	monsters/monster_frost_sprite.png	55	127	16	16
asset	monsters/monster_gargoyle.png	73	127	16	16
asset	monsters/monster_gate_skeleton.png	91	127	16	16
asset	monsters/monster_gelatinous_cube.png	109	127	16	16
asset	monsters/monster_ghost.png	127	127	16	16
asset	monsters/monster_ghoul.png	145	127	16	16
asset	monsters/monster_giant_bat.png	163	127	16	16
asset	monsters/monster_giant_beetle.png	181	127	16	16
asset	monsters/monster_giant_centipede.png	199	127	16	16
asset	monsters/monster_giant_crab.png	217	127	16	16
asset	monsters/monster_giant_fire_beetle.png	235	127	16	16
asset	monsters/monster_giant_lizard.png	253	127	16	16
asset	monsters/monster_giant_rat.png	271	127	16	16
asset	monsters/monster_giant_spider.png	289	127	16	16
asset	monsters/monster_giant_toad.png	307	127	16	16
asset	monsters/monster_glassroot_spider.png	325	127	16	16
asset	monsters/monster_gnoll.png	343	127	16	16
asset	monsters/monster_goblin.png	361	127	16	16
asset	monsters/monster_goblin_brute.png	379	127	16	16
asset	monsters/monster_goblin_chief.png	397	127	16	16
asset	monsters/monster_goblin_raider.png	415	127	16	16
asset	monsters/monster_goblin_shaman.png	433	127	16	16
asset	monsters/monster_goblin_sneak.png	451	127	16	16
asset	monsters/monster_goblin_trapper.png	469	127	16	16
asset	monsters/monster_grave_binder.png	487	127	16	16
asset	monsters/monster_grave_hound.png	505	127	16	16
asset	monsters/monster_grave_necromancer.png	523	127	16	16
asset	monsters/monster_gray_dwarf_guard.png	541	127	16	16
asset	monsters/monster_gray_dwarf_marauder.png	1	145	16	16
asset	monsters/monster_gray_dwarf_scout.png	19	145	16	16
asset	monsters/monster_gray_ooze.png	37	145	16	16
asset	monsters/monster_greater_fire_elemental.png	55	145	16	16
asset	monsters/monster_greater_frost_elemental.png	73	145	16	16
asset	monsters/monster_greater_storm_elemental.png	91	145	16	16
asset	monsters/monster_harpy.png	109	145	16	16
asset	monsters/monster_helmed_horror.png	127	145	16	16
asset	monsters/monster_hill_giant.png	145	145	16	16
asset	monsters/monster_hobgoblin.png	163	145	16	16
asset	monsters/monster_hobgoblin_captain.png	181	145	16	16
asset	monsters/monster_hobgoblin_soldier.png	199	145	16	16
asset	monsters/monster_hydra.png	217	145	16	16
asset	monsters/monster_iron_golem.png	235	145	16	16
asset	monsters/monster_kobold.png	253	145	16	16
asset	monsters/monster_kobold_packleader.png	271	145	16	16
asset	monsters/monster_kobold_scout.png	289	145	16	16
asset	monsters/monster_kraken.png	307	145	16	16
asset	monsters/monster_lesser_drake.png	325	145	16	16
asset	monsters/monster_lich.png	343	145	16	16
asset	monsters/monster_lightglass_apparition.png	361	145	16	16
asset	monsters/monster_lightglass_ghost.png	379	145	16	16
asset	monsters/monster_lightning_wisp.png	397	145	16	16
asset	monsters/monster_lizardfolk_raider.png	415	145	16	16
asset	monsters/monster_manticore.png	433	145	16	16
asset	monsters/monster_medusa.png	451	145	16	16
asset	monsters/monster_mercenary_axeman.png	469	145	16	16
asset	monsters/monster_mercenary_shieldman.png	487	145	16	16
asset	monsters/monster_mimic.png	505	145	16	16
asset	monsters/monster_minotaur.png	523	145	16	16
asset	monsters/monster_mummy.png	541	145	16	16
asset	monsters/monster_necromancer.png	1	163	16	16
asset	monsters/monster_novice_necromancer.png	19	163	16	16
asset	monsters/monster_ochre_jelly.png	37	163	16	16
asset	monsters/monster_ogre.png	55	163	16	16
asset	monsters/monster_orc.png	73	163	16	16
asset	monsters/monster_orc_hexer.png	91	163	16	16
asset	monsters/monster_orc_ravager.png	109	163	16	16
asset	monsters/monster_orc_reaver.png	127	163	16	16
asset	monsters/monster_owlbear.png	145	163	16	16
asset	monsters/monster_piercer.png	163	163	16	16
asset	monsters/monster_plague_zombie.png	181	163	16	16
asset	monsters/monster_primordial_dragon.png	199	163	16	16
asset	monsters/monster_primordial_dragon_husk.png	217	163	16	16
asset	monsters/monster_primordial_husk.png	235	163	16	16
asset	monsters/monster_purple_worm.png	253	163	16	16
asset	monsters/monster_rat.png	271	163	16	16
asset	monsters/monster_rift_bat.png	289	163	16	16
asset	monsters/monster_rime_sprite.png	307	163	16	16
asset	monsters/monster_road_ogre.png	325	163	16	16
asset	monsters/monster_road_wrecker.png	343	163	16	16
asset	monsters/monster_root_bound_dead.png	361	163	16	16
asset	monsters/monster_root_bound_zombie.png	379	163	16	16
asset	monsters/monster_root_stalker.png	397	163	16	16
asset	monsters/monster_rootclaw_drakelet.png	415	163	16	16
asset	monsters/monster_roper.png	433	163	16	16
asset	monsters/monster_rotting_dead.png	451	163	16	16
asset	monsters/monster_rotting_ghoul.png	469	163	16	16
asset	monsters/monster_rotting_zombie.png	487	163	16	16
asset	monsters/monster_rust_monster.png	505	163	16	16
asset	monsters/monster_sahuagin_priest.png	523	163	16	16
asset	monsters/monster_sahuagin_raider.png	541	163	16	16
asset	monsters/monster_sahuagin_sea_priest.png	1	181	16	16
asset	monsters/monster_sahuagin_sea_raider.png	19	181	16	16
asset	monsters/monster_sap_ghoul.png	37	181	16	16
asset	monsters/monster_scar_raider.png	55	181	16	16
asset	monsters/monster_scar_rat.png	73	181	16	16
asset	monsters/monster_scar_stalker.png	91	181	16	16
asset	monsters/monster_scrawny_goblin.png	109	181	16	16
asset	monsters/monster_seal_penitent.png	127	181	16	16
asset	monsters/monster_seal_penitent_priest.png	145	181	16	16
asset	monsters/monster_shadow.png	163	181	16	16
asset	monsters/monster_shard_priest.png	181	181	16	16
asset	monsters/monster_shardhorn_stag.png	199	181	16	16
asset	monsters/monster_shardling_kobold.png	217	181	16	16
asset	monsters/monster_shardmouth_hound.png	235	181	16	16
asset	monsters/monster_shrieker.png	253	181	16	16
asset	monsters/monster_skeletal_knight.png	271	181	16	16
asset	monsters/monster_skeleton.png	289	181	16	16
asset	monsters/monster_skeleton_axeman.png	307	181	16	16
asset	monsters/monster_skeleton_spearman.png	325	181	16	16
asset	monsters/monster_specter.png	343	181	16	16
asset	monsters/monster_starfall_scavenger.png	361	181	16	16
asset	monsters/monster_stirge.png	379	181	16	16
asset	monsters/monster_stone_drake.png	397	181	16	16
asset	monsters/monster_stone_gargoyle.png	415	181	16	16
asset	monsters/monster_stone_giant.png	433	181	16	16
asset	monsters/monster_stone_golem.png	451	181	16	16
asset	monsters/monster_stoneclaw_drakelet.png	469	181	16	16
asset	monsters/monster_storm_elemental.png	487	181	16	16
asset	monsters/monster_storm_giant.png	505	181	16	16
asset	monsters/monster_thorn_widow.png	523	181	16	16
asset	monsters/monster_titan.png	541	181	16	16
asset	monsters/monster_tomb_ghoul.png	1	199	16	16
asset	monsters/monster_troglodyte.png	19	199	16	16
asset	monsters/monster_troglodyte_brute.png	37	199	16	16
asset	monsters/monster_troll.png	55	199	16	16
asset	monsters/monster_tunnel_bandit.png	73	199	16	16
asset	monsters/monster_tunnel_boar.png	91	199	16	16
asset	monsters/monster_tunnel_kobold.png	109	199	16	16
asset	monsters/monster_tunnel_raider.png	127	199	16	16
asset	monsters/monster_tunnel_warg.png	145	199	16	16
asset	monsters/monster_umber_hulk.png	163	199	16	16
asset	monsters/monster_underway_skirmisher.png	181	199	16	16
asset	monsters/monster_vampire_spawn.png	199	199	16	16
asset	monsters/monster_vault_skeleton.png	217	199	16	16
asset	monsters/monster_vein_weaver.png	235	199	16	16
asset	monsters/monster_violet_fungus.png	253	199	16	16
asset	monsters/monster_warden_thrall.png	271	199	16	16
asset	monsters/monster_warden_thrall_knight.png	289	199	16	16
asset	monsters/monster_warden_undead_knight.png	307	199	16	16
asset	monsters/monster_warg.png	325	199	16	16
asset	monsters/monster_water_weird.png	343	199	16	16
asset	monsters/monster_white_seal_revenant.png	361	199	16	16
asset	monsters/monster_white_seal_undead_priest.png	379	199	16	16
asset	monsters/monster_wight_soldier.png	397	199	16	16
asset	monsters/monster_wight_vanguard.png	415	199	16	16
asset	monsters/monster_wild_dog.png	433	199	16	16
asset	monsters/monster_will_o_wisp.png	451	199	16	16
asset	monsters/monster_wolf.png	469	199	16	16
asset	monsters/monster_wolf_spider.png	487	199	16	16
asset	monsters/monster_wraith.png	505	199	16	16
asset	monsters/monster_wyvern.png	523	199	16	16
asset	monsters/monster_xorn.png	541	199	16	16
asset	monsters/monster_zombie.png	1	217	16	16
asset	npcs/npc_chicken.png	19	217	16	16
asset	npcs/npc_child.png	37	217	16	16
asset	npcs/npc_dog.png	55	217	16	16
asset	npcs/npc_dwarf_generic.png	73	217	16	16
asset	npcs/npc_elf_generic.png	91	217	16	16
asset	npcs/npc_elf_wizard.png	109	217	16	16
asset	npcs/npc_farmer_wife.png	127	217	16	16
asset	npcs/npc_generic_gnome.png	145	217	16	16
asset	npcs/npc_goat.png	163	217	16	16
asset	npcs/npc_human_adventurer.png	181	217	16	16
asset	npcs/npc_human_farmer.png	199	217	16	16
asset	npcs/npc_human_fisherman.png	217	217	16	16
asset	npcs/npc_human_generic.png	235	217	16	16
asset	npcs/npc_human_knight.png	253	217	16	16
asset	npcs/npc_human_priest.png	271	217	16	16
asset	npcs/npc_human_shopkeep.png	289	217	16	16
asset	npcs/npc_mule.png	307	217	16	16
asset	player/player_cleric.png	325	217	16	16
asset	player/player_druid.png	343	217	16	16
asset	player/player_fighter.png	361	217	16	16
asset	player/player_paladin.png	379	217	16	16
asset	player/player_ranger.png	397	217	16	16
asset	player/player_rogue.png	415	217	16	16
asset	player/player_sorcerer.png	433	217	16	16
asset	player/player_wizard.png	451	217	16	16
asset	pois/poi_ash_tower.png	469	217	16	16
asset	pois/poi_bandit_camp.png	487	217	16	16
asset	pois/poi_blackglass_cavern.png	505	217	16	16
asset	pois/poi_bonebridge_redoubt.png	523	217	16	16
asset	pois/poi_briar_saint_grove.png	541	217	16	16
asset	pois/poi_broken_watchtower.png	1	235	16	16
asset	pois/poi_burned_cottage.png	19	235	16	16
asset	pois/poi_camp_kestrel.png	37	235	16	16
asset	pois/poi_chalkhill_burrows.png	55	235	16	16
asset	pois/poi_cistern_hatch.png	73	235	16	16
asset	pois/poi_docks.png	91	235	16	16
asset	pois/poi_elderwyrm_grove.png	109	235	16	16
asset	pois/poi_ember_monastery.png	127	235	16	16
asset	pois/poi_fallen_lance_camp.png	145	235	16	16
asset	pois/poi_floodgate_cistern.png	163	235	16	16
asset	pois/poi_glassneedle_ravine.png	181	235	16	16
asset	pois/poi_glassroot_hollow.png	199	235	16	16
asset	pois/poi_goblin_cave.png	217	235	16	16
asset	pois/poi_havenford.png	235	235	16	16
asset	pois/poi_highmark.png	253	235	16	16
asset	pois/poi_kings_barrow.png	271	235	16	16
asset	pois/poi_moonwell_observatory.png	289	235	16	16
asset	pois/poi_mossvale_clearing.png	307	235	16	16
asset	pois/poi_orc_base.png	325	235	16	16
asset	pois/poi_reedmire_shrine.png	343	235	16	16
asset	pois/poi_relay_warrens.png	361	235	16	16
asset	pois/poi_roadside_shrine.png	379	235	16	16
asset	pois/poi_serpentwater_oasis.png	397	235	16	16
asset	pois/poi_shalehook_mine.png	415	235	16	16
asset	pois/poi_smuggler_grotto.png	433	235	16	16
asset	pois/poi_starfall_root.png	451	235	16	16
asset	pois/poi_stonecleft.png	469	235	16	16
asset	pois/poi_stonecleft_passage.png	487	235	16	16
asset	pois/poi_sunken_crypt.png	505	235	16	16
asset	pois/poi_telwynd.png	523	235	16	16
asset	pois/poi_tidehook_docks.png	541	235	16	16
asset	pois/poi_trollking_cave.png	1	253	16	16
asset	pois/poi_white_seal_tower.png	19	253	16	16
asset	world_tiles/world_tile_deep_scar.png	37	253	16	16
asset	world_tiles/world_tile_forest.png	55	253	16	16
asset	world_tiles/world_tile_high_mountain.png	73	253	16	16
asset	world_tiles/world_tile_hills.png	91	253	16	16
asset	world_tiles/world_tile_mountain.png	109	253	16	16
asset	world_tiles/world_tile_plains.png	127	253	16	16
asset	world_tiles/world_tile_road.png	145	253	16	16
asset	world_tiles/world_tile_scar.png	163	253	16	16
asset	world_tiles/world_tile_shore.png	181	253	16	16
asset	world_tiles/world_tile_swamp.png	199	253	16	16
asset	world_tiles/world_tile_water.png	217	253	16	16
asset	zone_props/zone_prop_anvil.png	235	253	16	16
asset	zone_props/zone_prop_armor_rack.png	253	253	16	16
asset	zone_props/zone_prop_bed.png	271	253	16	16
asset	zone_props/zone_prop_bedroll.png	289	253	16	16
asset	zone_props/zone_prop_blackglass_spire.png	307	253	16	16
asset	zone_props/zone_prop_boat.png	325	253	16	16
asset	zone_props/zone_prop_bookshelf.png	343	253	16	16
asset	zone_props/zone_prop_brush.png	361	253	16	16
asset	zone_props/zone_prop_campfire.png	379	253	16	16
asset	zone_props/zone_prop_chair_left.png	397	253	16	16
asset	zone_props/zone_prop_chair_right.png	415	253	16	16
asset	zone_props/zone_prop_container_barrel_closed.png	433	253	16	16
asset	zone_props/zone_prop_container_barrel_open.png	451	253	16	16
asset	zone_props/zone_prop_container_chest_closed.png	469	253	16	16
asset	zone_props/zone_prop_container_chest_open.png	487	253	16	16
asset	zone_props/zone_prop_container_crate_closed.png	505	253	16	16
asset	zone_props/zone_prop_container_crate_open.png	523	253	16	16
asset	zone_props/zone_prop_container_crevice.png	541	253	16	16
asset	zone_props/zone_prop_fence.png	1	271	16	16
asset	zone_props/zone_prop_generic.png	19	271	16	16
asset	zone_props/zone_prop_giant_tree_canopy.png	37	271	16	16
asset	zone_props/zone_prop_giant_tree_trunk.png	55	271	16	16
asset	zone_props/zone_prop_grove_bench.png	73	271	16	16
asset	zone_props/zone_prop_lamplight.png	91	271	16	16
asset	zone_props/zone_prop_net_rack.png	109	271	16	16
asset	zone_props/zone_prop_rubble_r0.png	127	271	16	16
asset	zone_props/zone_prop_rubble_r1.png	145	271	16	16
asset	zone_props/zone_prop_rubble_r2.png	163	271	16	16
asset	zone_props/zone_prop_statue.png	181	271	16	16
asset	zone_props/zone_prop_stone_bench.png	199	271	16	16
asset	zone_props/zone_prop_stone_stairs_down.png	217	271	16	16
asset	zone_props/zone_prop_stone_stairs_up.png	235	271	16	16
asset	zone_props/zone_prop_story_final_blood_seal.png	253	271	16	16
asset	zone_props/zone_prop_story_stoneward_gate.png	271	271	16	16
asset	zone_props/zone_prop_story_veiled_grove.png	289	271	16	16
asset	zone_props/zone_prop_supply_sack.png	307	271	16	16
asset	zone_props/zone_prop_table.png	325	271	16	16
asset	zone_props/zone_prop_transition.png	343	271	16	16
asset	zone_props/zone_prop_trees.png	361	271	16	16
asset	zone_props/zone_prop_weapon_rack.png	379	271	16	16
asset	zone_props/zone_prop_wooden_stairs_down.png	397	271	16	16
asset	zone_props/zone_prop_wooden_stairs_up.png	415	271	16	16
asset	zone_props/zone_prop_wooden_stump.png	433	271	16	16
asset	zone_tiles/zone_tile_blackglass_field.png	451	271	16	16
asset	zone_tiles/zone_tile_blackglass_wall.png	469	271	16	16
asset	zone_tiles/zone_tile_deep_water_cap_e.png	487	271	16	16
asset	zone_tiles/zone_tile_deep_water_cap_n.png	505	271	16	16
asset	zone_tiles/zone_tile_deep_water_cap_s.png	523	271	16	16
asset	zone_tiles/zone_tile_deep_water_cap_w.png	541	271	16	16
asset	zone_tiles/zone_tile_deep_water_corner_ne.png	1	289	16	16
asset	zone_tiles/zone_tile_deep_water_corner_nw.png	19	289	16	16
asset	zone_tiles/zone_tile_deep_water_corner_se.png	37	289	16	16
asset	zone_tiles/zone_tile_deep_water_corner_sw.png	55	289	16	16
asset	zone_tiles/zone_tile_deep_water_fill.png	73	289	16	16
asset	zone_tiles/zone_tile_deep_water_h.png	91	289	16	16
asset	zone_tiles/zone_tile_deep_water_single.png	109	289	16	16
asset	zone_tiles/zone_tile_deep_water_tee_esw.png	127	289	16	16
asset	zone_tiles/zone_tile_deep_water_tee_nes.png	145	289	16	16
asset	zone_tiles/zone_tile_deep_water_tee_new.png	163	289	16	16
asset	zone_tiles/zone_tile_deep_water_tee_nsw.png	181	289	16	16
asset	zone_tiles/zone_tile_deep_water_v.png	199	289	16	16
